;;Mes anterior;1Q JUL;;Mes actual;1Q AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;julio;2Q JUL;;agosto;2Q AGO;;;;;Nota:;Las formulas de Martella pond acumulado y The Rock pond acumulado son diferentes para obras con periodo de arranque 1Q y 2Q, ver bien eso al agregar una nueva obra a la base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Certificado real; $ 807,481 ; $ 38,536,002 ; $ 17,112,775 ; $ 5,851,003 ; $ 16,633,672 ; $ 14,916,991 ; $ 10,632,879 ; $ 22,488,055 ; $ 5,283,948 ; $ 8,175,643 ; $ 28,169,699 ; $ 24,175,920 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Certificado previsto; $ 62,533,950 ; $ 22,080,140 ; $ 11,618,337 ; $ 51,852,158 ; $ 14,099,577 ; $ 20,175,386 ; $ 15,727,923 ; $ 21,305,221 ; $ 10,132,035 ; $ 14,117,635 ; $ 28,169,699 ; $ 24,175,920 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Adicionales;;-$ 682,798 ;-$ 3,397,707 ; $ 10,113,499 ; $ 4,862,844 ;-$ 3,621,586 ;-$ 1,350,959 ; $ 634,664 ;; $ 94,099 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Avance acumulado;0.11%;5.37%;7.70%;8.50%;10.77%;12.80%;14.25%;17.32%;18.04%;19.15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Avance proyectado;;;;;;13.17%;;17.85%;;20.62%;23.00%;26.29%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Avance inicial;8.53%;11.54%;13.31%;15.41%;17.33%;20.06%;23.62%;27.41%;31.99%;36.36%;41.83%;46.78%;51.21%;55.91%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PEDR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEDR;;1Q JUN 25;2Q JUN 25;1Q JUL 25;2Q JUL 25;1Q AGO 25;2Q AGO 25;1Q SEP 25;2Q SEP 25;1Q OCT 25;2Q OCT 25;1Q NOV 25;2Q NOV 25;1QDIC 25;2Q DIC 25;1Q ENE;2Q ENE;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;;;;;;;;;;;;;;;;;
PEDR;Hs reales;137;255;844;1236;1268;1147;1814;1698;1686;2497;2180;2406;2923;2353;1935;1349;1417;857;1302;1276;991;1740;1462;1010;1224;1100;1014;0;;;;;;;;;;;;;;;;;
PEDR;;1Q JUN 25;2Q JUN 25;1Q JUL 25;2Q JUL 25;1Q AGO 25;2Q AGO 25;1Q SEP 25;2Q SEP 25;1Q OCT 25;2Q OCT 25;1Q NOV 25;2Q NOV 25;1QDIC 25;2Q DIC 25;1Q ENE;2Q ENE;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;0;;;;;;;;;;;;;;;;
PEDR;Martella;0.91;0.92;0.99;1.02;1.04;1.01;1.00;1.02;1.04;1.03;1.03;1.04;1.04;1.04;1.04;1.05;1.09;1.03;1.05;1.05;1.04;1.02;1.03;0.99;0.97;0.96;0.96;0;0;;;;;;;;;;;;;;;;
PEDR;;1Q JUN 25;2Q JUN 25;1Q JUL 25;2Q JUL 25;1Q AGO 25;2Q AGO 25;1Q SEP 25;2Q SEP 25;1Q OCT 25;2Q OCT 25;1Q NOV 25;2Q NOV 25;1QDIC 25;2Q DIC 25;1Q ENE;2Q ENE;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;1Q JUL 26;2Q JUL 26;0;;;;;;;;;;;;;;;;
PEDR;The Rock;0.05;0.16;0.38;0.58;0.60;0.96;1.18;1.20;1.12;0.80;0.95;0.62;0.66;0.59;0.99;1.25;0.69;1.29;1.02;1.18;1.07;0.43;0.72;0.96;0.83;1.34;1.57;;;;;;;;;;;;;;;;;;
PEDR;;jun-25;jul-25;ago-25;sept-25;oct-25;nov-25;dic-25;ene-26;feb-26;mar-26;abr-26;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;;;;;;;;;;;;;;;;;;;;;;;;;;
